codusu,ano4,trimestre,region,aglomerado,fecha_nacimiento,edad,asistencia_educacion,nivel_ed,tipo_establecimiento,codigo_actividad,sexo,categoria_ocupacion,cat_cantidad_empleos,alfabetismo,educacion,experiencia_potencial,salario_horario
TQRMNOQTQHJOKRCDEHPJB00784929,2022,3,Noroeste,29,28/08/1961,60,asistio,"Primaria
Incompleta",Privada,3100,Varon,Cuenta propia,unico,Sabe leer y escribir,6,49,214.285714285714
TQRMNOPRTHKMLSCDEGJBF00788907,2022,3,Pampeana,13,01/01/1900,60,asistio,"Superior
Universitaria
Incompleta",Privada,4803,Varon,Cuenta propia,unico,Sabe leer y escribir,15,40,83.3333333333333
TQRMNOPTWHLLLLCDEGPDJ00707613,2022,3,Noroeste,19,27/01/1982,40,asistio,"Secundaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,22,541.666666666667
TQRMNOQQYHMOKPCDEGPDJ00712227,2022,3,Noroeste,19,11/11/2000,21,asistio,"Secundaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,12,4,500
TQRMNOPTSHJMLNCDEGGFB00783042,2022,3,Cuyo,10,16/04/1960,62,asistio,"Superior
Universitaria
Incompleta",Privada,6100,Varon,Obrero o empleado,unico,Sabe leer y escribir,15,42,619.318181818182
TQRMNOSTWHJMKOCDEFJAH00781959,2022,3,Pampeana,3,01/01/1900,20,asistio,"Secundaria
Completa",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,2,229.166666666667
TQRMNOQPXHMOKUCDEIOAH00710714,2022,3,Pampeana,38,01/01/1900,64,asistio,"Primaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,No sabe leer y escribir,4,55,375
TQRMNOTUVHJOKNCDEFIAH00781756,2022,3,Pampeana,2,24/04/1983,39,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,19,15,312.5
TQRMNOPQVHLLKUCDEIMBF00708561,2022,3,Pampeana,36,28/12/2000,21,asistio,"Secundaria
Completa",Privada,4805,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,3,277.777777777778
TQRMNORRSHMOKMCDEHMHF00709598,2022,3,Cuyo,26,11/12/1982,39,asistio,"Primaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,8,26,700
TQRMNOSWTHMKKRCDEFOCD00711940,2022,3,Noreste,8,02/03/1978,44,asistio,"Superior
Universitaria
Completa",Privada,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,19,20,250
TQRMNOPSRHLNKPCDEGPDJ00705462,2022,3,Noroeste,19,06/09/1970,51,asistio,"Superior
Universitaria
Completa",Privada,6000,Varon,Obrero o empleado,multiples,Sabe leer y escribir,16,30,511.363636363636
TQRMNOSPRHLMKTCDEGGFB00707863,2022,3,Cuyo,10,20/11/1978,43,asistio,"Superior
Universitaria
Completa",Privada,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,22,500
TQRMNOPUUHLKKUCDEIIAD00785327,2022,3,Gran Buenos Aires,32,05/02/1994,28,asistio,"Superior
Universitaria
Completa",Privada,3200,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,7,611.111111111111
TQRMNORRWHLMKOCDEIHJF00706216,2022,3,Patagonia,31,16/08/1983,39,asistio,"Secundaria
Completa",Privada,4501,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,21,1136.36363636364
TQRMNOUPQHJOLOCDEFKID00782227,2022,3,Pampeana,4,01/01/1900,52,asistio,"Superior
Universitaria
Incompleta",Privada,6900,Varon,Cuenta propia,unico,Sabe leer y escribir,15,32,555.555555555556
TQRMNOSTTHKMKOCDEHNHB00790777,2022,3,Cuyo,27,14/09/1990,31,asistio,"Superior
Universitaria
Completa",Privada,2100,Mujer,Obrero o empleado,unico,Sabe leer y escribir,19,7,735.294117647059
TQRMNORYSHLMLMCDEHGHJ00708235,2022,3,Patagonia,20,06/10/1945,76,asistio,"Superior
Universitaria
Incompleta",Estatal,4000,Varon,Obrero o empleado,multiples,Sabe leer y escribir,15,56,545.454545454546
TQRMNOSPPHKNPOCDEIJAH00792155,2022,3,Gran Buenos Aires,33,10/03/1959,63,asistio,"Primaria
Completa",Privada,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,8,50,500
TQRMNOQSVHKMLNCDEGPDJ00789801,2022,3,Noroeste,19,18/10/1986,35,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,11,19,254.62962962963
TQRMNOQUSHLNLMCDEHIBB00704146,2022,3,Noroeste,22,20/05/1991,31,asistio,"Secundaria
Incompleta",Privada,4803,Mujer,Cuenta propia,unico,Sabe leer y escribir,11,15,178.571428571429
TQRMNORRUHMMKUCDEHIBB00710642,2022,3,Noroeste,22,01/08/1958,64,asistio,"Primaria
Completa",Estatal,4000,Mujer,Obrero o empleado,unico,Sabe leer y escribir,8,51,312.5
TQRMNORSVHLLKOCDEIOAH00704342,2022,3,Pampeana,38,01/01/1900,34,asistio,"Secundaria
Completa",Privada,2500,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,16,520.833333333333
TQRMNORPPHLOKUCDEGPDJ00705278,2022,3,Noroeste,19,25/07/1965,57,asistio,"Superior
Universitaria
Completa",Privada,8600,Varon,Obrero o empleado,unico,Sabe leer y escribir,16,36,562.5
TQRMNOPVVHLMLTCDEIJAH00703928,2022,3,Gran Buenos Aires,33,01/01/1900,30,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,12,562.5
TQRMNOQVPHLOKSCDEHIBB00706954,2022,3,Noroeste,22,06/06/1995,27,asistio,"Secundaria
Completa",Privada,1400,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,9,363.636363636364
TQRMNOPPRHJMKTCDEGGFB00783044,2022,3,Cuyo,10,08/03/1990,32,asistio,"Superior
Universitaria
Incompleta",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,15,12,575
TQRMNOSRQHLMLQCDEHJGH00707875,2022,3,Noroeste,23,30/05/1966,56,asistio,"Primaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,8,43,625
TQRMNORRRHMLLPCDEIJAH00713357,2022,3,Gran Buenos Aires,33,11/04/1982,40,asistio,"Superior
Universitaria
Completa",Estatal,5100,Varon,Obrero o empleado,unico,Sabe leer y escribir,16,19,1187.5
TQRMNORXQHLMLOCDEFPCH00705123,2022,3,Patagonia,9,05/06/1990,32,asistio,"Secundaria
Incompleta",Privada,900,Varon,Obrero o empleado,unico,Sabe leer y escribir,11,16,923.913043478261
TQRMNOPSVHMOLNCDEGIBJ00715924,2022,3,Noreste,12,14/01/1985,37,asistio,"Superior
Universitaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,19,13,370.37037037037
TQRMNOTVXHLKLQCDEOHCH00704702,2022,3,Patagonia,91,30/01/1979,43,asistio,"Superior
Universitaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,22,937.5
TQRMNOQRXHKMLOCDEHLEH00790365,2022,3,Noroeste,25,01/01/1900,26,asiste actualmente,"Superior
Universitaria
Incompleta",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,15,6,218.75
